"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Response Window","Trial Accuracy","Response Time","Cue Angle"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:31:39-0700","Cue Angle",,"0","1000","0","840.7729864120483","90"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:31:39-0700","Cue Angle",,"0","1400","0","348.46699237823486","DIFFERENT IMAGE"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:31:39-0700","Cue Angle",,"0","1800","1","793.4979796409607","90"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:31:39-0700","Cue Angle",,"1","1700","0","N/A","92"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:31:39-0700","Cue Angle",,"0","1000","0","840.7729864120483","90"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:31:39-0700","Cue Angle",,"0","1400","0","348.46699237823486","DIFFERENT IMAGE"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:31:39-0700","Cue Angle",,"0","1800","1","793.4979796409607","90"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:31:39-0700","Cue Angle",,"1","1700","0","N/A","92"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Late Response",,"1","1000","0","N/A","ADAPTIVE ANGLE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Type",,"1","1040","0","N/A","ADAPTIVE ANGLE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Angle",,"1","1080","0","N/A","96"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Trial Accuracy",,"1","1160","1","N/A","ADAPTIVE ANGLE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Window",,"1","1320","1","N/A","ADAPTIVE ANGLE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Time",,"1","1320","1","N/A","RANDOM IMAGE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Late Response",,"0","1640","1","N/A","ADAPTIVE ANGLE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Type",,"0","1630","0","1300.6070256233215","90 DEGREES"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Angle",,"1","1670","0","N/A","102"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Trial Accuracy",,"0","1710","1","1325.7039785385132","ADAPTIVE ANGLE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Window",,"0","1700","1","1417.1810150146484","90 DEGREES"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Time",,"0","1700","0","1200.984001159668","ADAPTIVE ANGLE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Late Response",,"0","1740","1","1200.984001159668","RANDOM IMAGE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Type",,"0","1730","1","1317.588984966278","90 DEGREES"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Angle",,"0","1720","1","1424.0130186080933","90"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Trial Accuracy",,"0","1700","1","1201.9169926643372","90 DEGREES"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Window",,"0","1660","1","1252.2670030593872","RANDOM IMAGE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Time",,"0","1660","1","997.4600076675415","90 DEGREES"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Late Response",,"0","1580","1","997.4600076675415","RANDOM IMAGE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Type",,"0","1420","1","1300.8469939231873","RANDOM IMAGE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Angle",,"0","1100","1","1347.1140265464783","DIFFERENT IMAGE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Trial Accuracy",,"1","1140","0","N/A","RANDOM IMAGE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Window",,"1","1180","0","N/A","ADAPTIVE ANGLE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Time",,"1","1180","1","N/A","90 DEGREES"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Late Response",,"0","1260","1","N/A","RANDOM IMAGE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Type",,"0","1250","1","1149.0880250930786","90 DEGREES"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Cue Angle",,"0","1240","1","1104.0670275688171","90"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Trial Accuracy",,"1","1280","1","N/A","90 DEGREES"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Window",,"0","1270","1","1181.96702003479","RANDOM IMAGE"
"53e18334b6145ef8400923a0","BLUE-00051","2014-08-05T21:21:55-0400",,"FEMALE","LEFT","2014-08-05T21:18:08-0400","Response Time",,"1","1270","1","N/A","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Late Response",,"1","1000","1","N/A","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Type",,"1","1040","0","N/A","ADAPTIVE ANGLE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Angle",,"1","1080","1","N/A","DIFFERENT IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Trial Accuracy",,"0","1070","1","942.1889781951904","RANDOM IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Window",,"1","1110","1","N/A","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Time",,"0","1110","1","914.0610098838806","RANDOM IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Late Response",,"1","1100","1","914.0610098838806","RANDOM IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Type",,"1","1140","0","N/A","ADAPTIVE ANGLE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Angle",,"0","1180","1","822.6230144500732","90"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Trial Accuracy",,"0","1170","1","1070.9490180015564","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Window",,"0","1160","1","1042.7690148353577","RANDOM IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Time",,"1","1160","1","N/A","RANDOM IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Late Response",,"0","1200","0","N/A","ADAPTIVE ANGLE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Type",,"0","1240","1","1088.5559916496277","ADAPTIVE ANGLE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Angle",,"1","1320","1","N/A","90"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Trial Accuracy",,"0","1310","1","1155.1010012626648","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Window",,"0","1300","1","840.4979705810547","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Time",,"0","1300","0","858.0909967422485","ADAPTIVE ANGLE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Late Response",,"0","1340","1","858.0909967422485","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Type",,"0","1330","0","857.9049706459045","ADAPTIVE ANGLE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Angle",,"0","1370","1","939.8970007896423","DIFFERENT IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Trial Accuracy",,"0","1360","1","1012.1840238571167","RANDOM IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Window",,"0","1350","1","1140.3290033340454","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Time",,"0","1350","1","986.3210320472717","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Late Response",,"0","1330","1","986.3210320472717","RANDOM IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Type",,"0","1290","1","845.1749682426453","90 DEGREES"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Cue Angle",,"0","1210","1","1193.5420036315918","DIFFERENT IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Trial Accuracy",,"0","1050","0","969.836950302124","RANDOM IMAGE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Window",,"0","1090","0","911.5130305290222","ADAPTIVE ANGLE"
"53e2b0cfb6145e20340923a3","BLUE-00051","2014-08-06T18:48:45-0400",,"FEMALE","LEFT","2014-08-06T18:45:18-0400","Response Time",,"1","1090","0","N/A","ADAPTIVE ANGLE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Time",,"0","1000","1","780.817985534668","RANDOM IMAGE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Trial Accuracy",,"0","990","0","780.817985534668","90 DEGREES"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Window",,"0","1030","0","900.2349972724915","RANDOM IMAGE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Late Response",,"0","1030","0","801.3499975204468","RANDOM IMAGE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Type",,"0","1070","1","711.5529775619507","90 DEGREES"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Angle",,"0","1060","0","696.9879865646362","90"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Time",,"0","1100","1","715.1550054550171","90 DEGREES"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Trial Accuracy",,"0","1090","0","715.1550054550171","ADAPTIVE ANGLE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Window",,"0","1130","0","545.1340079307556","90 DEGREES"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Late Response",,"0","1130","1","753.3069849014282","ADAPTIVE ANGLE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Type",,"0","1120","0","622.8129863739014","RANDOM IMAGE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Angle",,"0","1160","0","705.951988697052","DIFFERENT IMAGE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Time",,"0","1200","1","739.2770051956177","RANDOM IMAGE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Trial Accuracy",,"0","1190","0","739.2770051956177","ADAPTIVE ANGLE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Window",,"0","1230","0","897.6110219955444","90 DEGREES"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Late Response",,"0","1230","1","734.7739934921265","RANDOM IMAGE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Type",,"0","1220","1","819.9560046195984","90 DEGREES"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Angle",,"0","1210","1","703.9719820022583","90"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Time",,"0","1190","1","819.1219568252563","ADAPTIVE ANGLE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Trial Accuracy",,"0","1150","0","819.1219568252563","ADAPTIVE ANGLE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Window",,"0","1190","0","832.8189849853516","RANDOM IMAGE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Late Response",,"0","1190","1","637.7710103988647","ADAPTIVE ANGLE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Type",,"0","1180","0","574.275016784668","ADAPTIVE ANGLE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Angle",,"0","1220","0","811.0910058021545","104"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Time",,"0","1260","0","664.2190217971802","90 DEGREES"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Trial Accuracy",,"0","1340","0","664.2190217971802","ADAPTIVE ANGLE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Response Window",,"0","1500","0","663.4719967842102","RANDOM IMAGE"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Late Response",,"0","1500","1","881.7800283432007","90 DEGREES"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Type",,"0","1490","1","640.7449841499329","90 DEGREES"
"53ee8ae7b6145e150eef3afc","BLUE-00062","2014-08-15T15:34:14-0700",,"FEMALE","RIGHT","2014-08-15T15:30:23-0700","Cue Angle",,"0","1480","1","631.8100094795227","90"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Late Response",,"0","1000","0","631.8100094795227","ADAPTIVE ANGLE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Type",,"0","1040","1","682.3320388793945","90 DEGREES"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Angle",,"0","1030","0","640.0450468063354","DIFFERENT IMAGE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Trial Accuracy",,"0","1070","0","712.5610113143921","RANDOM IMAGE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Window",,"0","1110","0","696.1319446563721","ADAPTIVE ANGLE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Time",,"0","1110","1","768.7599658966064","RANDOM IMAGE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Late Response",,"0","1100","1","768.7599658966064","RANDOM IMAGE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Type",,"0","1090","1","866.2149906158447","90 DEGREES"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Angle",,"0","1070","0","778.564989566803","96"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Trial Accuracy",,"0","1110","1","769.8349952697754","ADAPTIVE ANGLE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Window",,"0","1100","1","880.8630108833313","ADAPTIVE ANGLE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Time",,"1","1100","0","N/A","90 DEGREES"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Late Response",,"0","1140","1","N/A","RANDOM IMAGE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Type",,"0","1130","1","783.7080359458923","RANDOM IMAGE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Angle",,"0","1120","1","864.8989796638489","DIFFERENT IMAGE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Trial Accuracy",,"0","1100","0","745.9779977798462","RANDOM IMAGE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Window",,"0","1140","0","617.9420351982117","90 DEGREES"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Time",,"0","1140","1","901.9239544868469","ADAPTIVE ANGLE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Late Response",,"0","1130","1","901.9239544868469","90 DEGREES"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Type",,"0","1120","1","836.9939923286438","RANDOM IMAGE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Angle",,"0","1100","0","886.2919807434082","102"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Trial Accuracy",,"0","1140","0","869.6679472923279","ADAPTIVE ANGLE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Window",,"0","1180","0","912.1959805488586","ADAPTIVE ANGLE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Time",,"0","1180","1","835.4830145835876","90 DEGREES"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Late Response",,"1","1170","1","835.4830145835876","90 DEGREES"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Type",,"1","1210","0","N/A","ADAPTIVE ANGLE"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Cue Angle",,"0","1250","1","987.4350428581238","90"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Trial Accuracy",,"0","1240","0","1103.5299897193909","90 DEGREES"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Window",,"0","1280","0","981.893002986908","90 DEGREES"
"5406b35fb6145e0d37358d3c","GREEN-00046","2014-09-02T23:21:19-0700",,,,"2014-09-02T23:17:26-0700","Response Time",,"0","1280","1","733.4190011024475","RANDOM IMAGE"
"54078590b6145e1729358d39","BLUE-00072","2014-09-03T14:18:10-0700",,"FEMALE","RIGHT","2014-09-03T14:14:38-0700","Response Time",,"0","1000","0","844.8149561882019","ADAPTIVE ANGLE"
"54078590b6145e1729358d39","BLUE-00072","2014-09-03T14:18:10-0700",,"FEMALE","RIGHT","2014-09-03T14:14:38-0700","Trial Accuracy",,"0","1040","1","844.8149561882019","RANDOM IMAGE"
"54078590b6145e1729358d39","BLUE-00072","2014-09-03T14:18:10-0700",,"FEMALE","RIGHT","2014-09-03T14:14:38-0700","Response Window",,"0","1030","1","1003.6829710006714","RANDOM IMAGE"
"54078590b6145e1729358d39","BLUE-00072","2014-09-03T14:18:10-0700",,"FEMALE","RIGHT","2014-09-03T14:14:38-0700","Late Response",,"0","1030","0","861.3319993019104","90 DEGREES"
"54078590b6145e1729358d39","BLUE-00072","2014-09-03T14:18:10-0700",,"FEMALE","RIGHT","2014-09-03T14:14:38-0700","Cue Type",,"0","1070","1","871.1420297622681","90 DEGREES"
"54078590b6145e1729358d39","BLUE-00072","2014-09-03T14:18:10-0700",,"FEMALE","RIGHT","2014-09-03T14:14:38-0700","Cue Angle",,"0","1060","1","809.6739649772644","90"
"54078590b6145e1729358d39","BLUE-00072","2014-09-03T14:18:10-0700",,"FEMALE","RIGHT","2014-09-03T14:14:38-0700","Response Time",,"0","1050","1","907.7720046043396","RANDOM IMAGE"
